hale	 adj.  健壮的， 矍铄的
ceramic	 adj. 陶器的 n.  陶瓷制品
blackmail	 v&n.  敲诈， 勒索
stoic	 n.  坚忍克己之人
journalistic	 adj.  新闻业的， 新闻工作者的
bromide	 n.  庸俗的人； 陈词滥调； 镇静剂， 安眠药
lustrous	 adj.  有光泽的
overinflated	 adj.  过度充气的
peep	 n&v.  瞥见， 偷看； 初现
peer	 n.  同等之人， 同辈
surly	 adj.  脾气暴躁的； 阴沉的
lineal	 adj.  直系的， 嫡系的
snob	 n.  势利小人
persecute	 v.  迫害
accolade	 n.  推崇； 赞扬
imperative	 adj.  紧急的
piecemeal	 adj.  一件一件的， 零碎的
robust	 adj.  健壮的
peel	 v. 削去…的皮；剥落 n.  外皮
homely	 adj.  朴素的； 不漂亮的
goblet	 n.  高脚酒杯
denounce	 v.  指责
swampy	 adj.  沼泽的， 湿地的
verge	 n.  边缘
peek	 v.  偷看
pastry	 n.  糕点， 点心
spinal	 adj.  脊骨的， 脊髓的
caucus	 n.  政党高层会议
mirth	 n.  欢乐， 欢笑
renunciate	 v.  放弃
charade	 v.  凭动作猜字谜 n. 猜字谜游戏
prohibit	 v.  禁止； 阻止
frugal	 adj.  节约的， 节俭的
loiter	 v.  闲逛， 游荡； 慢慢前行； 消磨时光， 虚度光阴
overcast	 adj.  阴天的， 阴暗的
chide	 v.  斥责， 责骂
interrogative	 adj.  疑问的； 质疑的
cutlery	 n.  餐具
tempo	 n.  速度 and often by an exact metronome marking)； (动作、 生活的)步调， 节奏(rate of motion or activity)
penetrating	 adj.  响亮的， 尖锐的； 刺激的； 敏锐的， 有洞察力的
deadlock	 n.  相持不下， 僵局
servile	 adj.  奴性的， 百依百顺的
kidney	 n.  肾
lactic	 adj.  乳汁的
aphorism	 n.  格言
rowdy	 adj.  吵闹的； 粗暴的
motif	 n.  主题， 主旨
stock	 v. 储备 adj. 常用的 n.  存货
verification	 n.  确认， 查证
suspend	 v.  暂停， 中止； 吊， 悬
sloping	 adj.  倾斜的， 有坡度的
distraught	 adj.  心神狂乱的， 发狂的； 心烦意乱的
surge	 v.  波涛汹涌
fondle	 v.  抚弄， 抚摸
voluble	 adj.  健谈的； 易旋转的
indiscriminate	 adj.  不加选择的； 随意的， 任意的
belittle	 v.  轻视， 贬低
impugn	 v.  提出异议， 对…表示怀疑
clinical	 adj.  临床的； 冷静客观的
agape	 adj&adv.  大张着的
evil	 adj. 邪恶的，罪恶的 n.  坏事， 恶行
vanquish	 v.  征服， 击溃
absolve	 v.  赦免， 免除
seclusion	 n.  隔离； 隔离地
boulder	 n.  巨砾
accost	 v.  搭话
grievous	 adj.  痛苦的， 悲伤的； 极严重的
lancet	 n.  柳叶刀
despise	 v.  鄙视， 蔑视
agitated	 adj.  激动的； 不安的
vulgar	 adj.  无教养的， 庸俗的
redeem	 v.  弥补， 赎回， 偿还
conformity	 n.  一致， 遵从； 顺从
unpack	 v.  打开包裹， 卸货
stricture	 n.  严厉谴责； 束缚
abstinent	 adj.  饮食有度的， 有节制的， 禁欲的
allude	 v.  暗指， 影射， 间接提到
picayunish	 adj.  微不足道的， 不值钱的
chagrin	 n.  失望， 懊恼
predator	 n.  食肉动物
forfeit	 v. 丧失，被罚没收 n.  丧失的东西
bamboozle	 v.  欺骗， 隐瞒
jaundice	 n.  偏见； 黄疸
straiten	 v.  使为难； 使变窄
euphemism	 n.  婉言， 委婉的说法
burning	 adj.  燃烧的； 强烈的
groan	 v. 呻吟，叹息 n.  呻吟， 叹息
oleaginous	 adj.  油腻的； 圆滑的， 满口恭维的
plunder	 v.  抢劫， 掠夺
distaste	 v. 厌恶 n.  厌恶， 不喜欢
expatiate	 v.  细说， 详述
verbosity	 n.  冗长
determinant	 adj.  决定性的 n. 决定因素
pelt	 v. 扔 n.  毛皮
coincidentally	 adv.  巧合地
fracture	 n.  骨折； 折断； 裂口
figurine	 n.  小塑像， 小雕像
liberty	 n.  随意； 自由
snug	 adj.  温暖舒适的
snub	 v.  冷落， 不理睬
apprentice	 n.  学徒
confidential	 adj.  机密的
distent	 adj.  膨胀的； 扩张的
disinclination	 n.  不愿意， 不情愿
claustrophobic	 adj.  幽闭恐怖症的， 导致幽闭恐怖症的
warehouse	 n.  仓库， 货栈
verboten	 adj.  禁止的， 严禁的
convalescent	 adj&n.  康复中的 recovering from illness)
acedia	 n.  无精打采的样子； 懒惰
extricate	 v.  摆脱， 脱离； 拯救， 救出
brutality	 n.  野蛮； 暴行
shrewd	 adj.  机灵的， 精明的
coruscate	 v.  闪亮
offend	 v.  得罪， 冒犯
diligent	 adj.  勤奋的， 勤勉的
anomaly	 n.  异常， 反常； 异常事物
pod	 v.  剥掉 n. 豆荚
prehensile	 adj.  能抓住东西的， 缠绕的
arson	 n.  纵火， 放火
marine	 adj.  海的； 海生的
inalienable	 adj.  不能转让的； 不可剥夺的
pop	 v.  发出“砰”的一声； 突然出现
limousine	 n.  大型轿车， 大型豪华轿车
deluxe	 adj.  豪华的， 华丽的
routine	 adj.  平常的； 常规的 n. 常规
positiveness	 n.  肯定， 确信
digestion	 n.  消化， 吸收
putrid	 adj.  腐臭的
scripture	 n.  经文， 圣典
retention	 n.  保留， 保持
validate	 v.  使生效
equate	 v.  认为…相等或相仿
surplus	 adj.  过剩的， 剩余的； 盈余的
clairvoyant	 adj.  透视的， 有洞察力的
plenary	 adj.  全体出席的； 完全的， 绝对的， 无限的
acarpous	 adj.  不结果实的
yacht	 n.  帆船， 游艇
potshot	 v.  肆意抨击 n. 盲目射击；肆意抨击
philosophic	 adj.  哲学的
defiant	 adj.  反抗的， 挑衅的
neolithic	 adj.  新石器时代的
prosperous	 adj.  繁荣的， 兴旺的
inedible	 adj.  不能吃的， 不可食的
smite	 v.  重击， 猛打
canopy	 n.  蚊帐； 华盖
neutron	 n.  中子
poncho	 n.  斗篷；  雨披
incite	 v.  激发， 刺激
interpose	 v.  置于…之间； 使介入
connive	 v.  默许； 纵容； 共谋
inexcusable	 adj.  不可原谅的， 不可宽恕的
inherent	 adj.  固有的， 内在的
encroach	 v.  侵占， 蚕食
pronounced	 adj.  显著的， 明确的
perish	 v.  死， 暴卒
stipulate	 v.  要求以…为条件； 约定， 规定
insufficient	 adj.  不足的
intrinsic	 adj.  固有的， 内在的， 本质的
retentive	 adj.  有记性的， 记忆力强的
vestige	 n.  痕迹， 遗迹
incise	 v.  切入， 切割
proximity	 n.  接近， 临近
pry	 v. 刺探；撬开 n.  撬杠， 杠杆
statutory	 adj.  法定的； 依照法令的
receipt	 n.  收到， 接到； 发票， 收据
congeal	 v.  凝结， 凝固
foodstuff	 n.  食料， 食品
medicate	 v.  用药物医治； 加药于
correlated	 adj.  有相互关系的
serpentine	 adj.  像蛇般蜷曲的， 蜿蜒的
derogatory	 adj.  不敬的， 贬损的
capsule	 n.  荚膜， 蒴果； 胶囊
quibble	 n.  遁词； 吹毛求疵的反对意见或批评
trespass	 v.  侵犯， 闯入私人领地
rustic	 adj.  乡村的， 乡土气的
prudent	 adj.  审慎的， 精明的； 节俭的， 精打细算的
autocrat	 n.  独裁者
perk	 v.  恢复， 振作； 打扮； 竖起
volatile	 adj.  反复无常的； 易挥发的
steadiness	 n.  稳健， 坚定
premiere	 n.  首次公演
generic	 adj.  种类的， 类属的
endorse	 v.  赞同； 背书
dalliance	 n.  虚度光阴； 调情
heinous	 adj.  十恶不赦的， 可憎的
seclude	 v.  使隔离， 使孤立
funky	 adj.  有霉臭味的， 有恶臭的
embargo	 n.  禁港令， 封运令
wither	 v.  干枯， 枯萎
pushy	 adj.  有进取心的， 爱出风头的， 固执己见的
nocturnal	 adj.  夜晚的， 夜间发生的
notorious	 adj.  臭名昭著的
superimpose	 v.  重叠， 叠加
infant	 n.  婴儿
sodden	 adj.  浸透了的
artifact	 n.  人工制品
seafaring	 adj.  航海的， 跟航海有关的
frugality	 n.  朴素； 节俭
insouciant	 adj.  漫不经心的
pedal	 v.  骑自行车 n. 踏板，脚蹬
gustatory	 adj.  味觉的， 品尝的
insightful	 adj.  富有洞察力的， 有深刻见解的
impertinence	 n.  无礼， 粗鲁
lapse	 n.  失误； 流逝
quandary	 n.  困惑， 进退两难， 窘境
latent	 adj.  潜在的， 潜伏的
regenerate	 v.  改造， 改进； 使再生， 新生
unquestionable	 adj.  毫无疑问的， 无懈可击的
stanza	 n.  节， 段
unfounded	 adj.  无事实根据的
impute	 v.  归咎于； 归于
muddle	 n.  迷惑， 困惑； 混乱
ponderous	 adj.  笨重的， 不便搬运的
pirate	 v.  盗印； 掠夺 n. 海盗；剽窃者
infection	 n.  传染； 感染
actuate	 v.  开动， 促使
emigrate	 v.  移居国外
hoax	 v.  欺骗 n. 骗局，恶作剧
cleft	 adj.  劈开的 n. 裂缝
deserter	 n.  背弃者； 逃兵
damped	 adj.  潮湿的； 减震的， 压低的
desist	 v.  停止， 中止
elite	 n.  精英； 主力， 中坚
zealotry	 n.  狂热
crimson	 adj. 绯红色的 v.  变得绯红 n. 绯红色
growl	 v.  咆哮， 吼叫； 轰鸣
cavil	 v.  挑毛病， 吹毛求疵
anomalous	 adj.  反常的； 不协调的
lexicon	 n.  词典
predatory	 adj.  掠夺的； 食肉的
unintelligible	 adj.  不可能理解的， 难懂的
waspish	 adj.  易怒的； 尖刻的
touching	 adj.  动人的， 感人的； 令人同情的
murmur	 v.  柔声地说； 抱怨
muddy	 adj.  多泥的， 泥泞的； 浑浊的， 不清的
ritzy	 adj.  高雅的； 势利的
ravage	 v.  摧毁， 使荒废
barren	 adj.  不育的； 贫瘠的； 不结果实的
grove	 n.  小树林， 树丛
grandiose	 adj.  宏伟的； 浮夸的
antiquity	 n.  古老； 古人；  古迹
centralization	 n.  集中； 集权化
foster	 v.  鼓励， 促进； 养育， 抚养
choice	 adj.  上等的； 精选的
incidence	 n.  发生， 出现； 发生率
gregarious	 adj.  群居的； 爱社交的
peevish	 adj.  不满的， 抱怨的； 暴躁的， 坏脾气的， 易怒的
stomach	 v.  吃得下； 容忍
emulate	 v.  与…竞争， 努力赶上
synthesize	 v.  综合； 合成
irascible	 adj.  易怒的
flatten	 v.  变平； 彻底打败， 击倒
trek	 v.  艰苦跋涉
circumlocution	 n.  迂回累赘的陈述
vindictive	 adj.  报复的
epilogue	 n.  收场白； 尾声
piscatorial	 adj.  捕鱼的， 渔业的
interrupt	 v.  暂时中止； 打断， 打扰
feasible	 adj.  可行的， 可能的
unassuming	 adj.  不摆架子的， 不装腔作势的， 谦逊的
prescribe	 v.  开处方； 规定
proofread	 v.  校正， 校对
flatter	 v.  恭维， 奉承
gross	 adj. 总的；粗野的 n.  全部， 总额
figment	 n.  虚构的事
dampen	 v.  潮湿； 使沮丧， 泼凉水
bereave	 v.  夺去， 丧亲
tact	 n.  机智； 圆滑
hortative	 adj.  劝告的； 激励的
archive	 n.  档案室
disarm	 v.  使缴械； 使缓和
reciprocity	 n.  相互性； 互惠
eclipse	 n.  日食， 月食； 黯然失色， 衰退
exorcise	 v.  驱除妖魔； 去除
soak	 v.  浸泡， 渗透
animosity	 n.  憎恶， 仇恨
flagging	 adj.  下垂的； 衰弱的
sustain	 v.  承受； 支撑
nadir	 n.  最低点
metrical	 adj.  测量的； 韵律的
composure	 n.  镇静， 沉着； 自若
insurmountable	 adj.  不能克服的， 不能超越的
inherently	 adv.  固有地， 天性地
uphold	 v.  维护， 支持
nostalgia	 n.  思乡； 怀旧之情
viscous	 adj.  黏滞的， 黏性的， 黏的
festive	 adj.  欢宴的， 节日的
craven	 adj.  懦弱的， 畏缩的
encounter	 v.  遭遇； 邂逅
centripetal	 adj.  向心的
landslide	 n.  山崩； 压倒性的胜利
agrarian	 adj.  土地的
sock	 v.  重击， 痛打
extrovert	 n.  性格外向者
irrepressible	 adj.  抑制不住的， 压抑不住的
snippet	 n.  小片， 片段
repulse	 v. 击退；回绝 n.  击退； 回绝， 拒绝
hoarse	 adj.  嘶哑的， 粗哑的
tauten	 v.  拉紧， 绷紧
diligence	 n.  勤勉， 勤奋
opine	 v.  想， 以为
evaluation	 n.  评价， 评估
tramp	 v.  重步走
traitor	 n.  卖国贼， 叛徒
trim	 v. 修剪 adj.  井井有条的
nubile	 adj.  适婚的； 性感的
vaulted	 adj.  拱形的
fiat	 n.  法令， 政令
fictitious	 adj.  假的； 虚构的
prime	 adj.  首先的； 主要的； 最好的 n. 全盛时期
amble	 v.  缓行， 漫步
domesticated	 adj.  驯养的， 家养的
venture	 v. 敢于；冒险 n.  冒险
corrosive	 adj.  腐蚀性的， 腐蚀的， 蚀坏的
discern	 v.  识别， 看出
propensity	 n.  嗜好， 习性
flexible	 adj.  易弯曲的； 灵活的
transience	 n.  短暂， 稍纵即逝
intoxicate	 v.  沉醉， 欣喜若狂； 喝醉
replenish	 v.  补充， 把…再备足
amenable	 adj.  顺从的； 愿接受的
piousness	 n.  虔诚
soil	 v.  弄脏， 污辱
solidify	 v.  巩固， 凝固， 团结
interloper	 n.  闯入者
interweave	 v.  交织
reprehend	 v.  谴责， 责难
involvement	 n.  参与； 连累； 投入
scraggly	 adj.  凹凸不平的； 散乱的
dictum	 n.  格言， 声明
spark	 n.  火花， 火星
disparity	 n.  不同， 差异
integral	 adj.  构成整体所必需的； 完整的
empirically	 adv.  凭经验地
feigned	 adj.  假装的； 假的； 不真诚的
replicate	 v.  复制
equable	 adj.  稳定的， 不变的； 温和的
desultory	 adj.  不连贯的； 散漫的
affirmation	 n.  肯定； 断言
atonement	 n.  弥补
mutter	 v.  咕哝， 嘀咕
glee	 n.  欢喜， 高兴
publicize	 v.  宣传， 宣扬； 引人注意
archer	 n.  弓箭手， 射手
cultivate	 v.  种植； 培养
ineffable	 adj.  不可言喻的， 难以表达的； 避讳的
stouthearted	 adj.  刚毅的， 大胆的
purse	 v. 缩拢，皱起 n.  钱包
represent	 v.  呈现； 代表； 体现
apathetic	 adj.  无感情的； 无兴趣的
inconvenient	 adj.  不便的， 打扰的， 造成麻烦的
glib	 adj.  圆滑的， 能言善道的， 善辩的
obsequiousness	 n.  谄媚
bewildering	 adj.  令人困惑的； 令人费解的
scrutable	 adj.  可以了解的， 可解读的
absurd	 adj.  荒谬的， 可笑的
outdated	 adj.  过时的
prior	 adj.  在前的； 优先的
sweltering	 adj.  酷热的
trait	 n.  显著特性
purgatory	 n.  炼狱
serviceable	 adj.  可用的， 耐用的
impregnable	 adj.  固若金汤的， 无法攻破的
vault	 n.  拱顶； 地窖
venerate	 v.  崇敬， 敬仰
creep	 v.  匍匐前进； 悄悄地移动， 蹑手蹑脚地走
deciduous	 adj.  非永久的； 短暂的； 脱落的； 落叶的
contradictory	 adj.  反驳的， 反对的， 抗辩的
obviate	 v.  排除， 消除
accompany	 v.  伴随， 陪伴
perspicuous	 adj.  明晰的， 明了的
seamy	 adj.  丑恶的， 污秽的
interlard	 v.  使混杂， 混入
minnow	 n.  鲤科， 小鱼
platitude	 n.  陈词滥调
subpoena	 v.  传讯 n. 【律】传票
hinge	 n.  铰链； 关键
gourmand	 n.  嗜食者
earthiness	 n.  土质， 土性
tactile	 adj.  有触觉的
hone	 v.  磨刀 n. 磨刀石
schematize	 v.  扼要表示
insouciance	 n.  漠不关心， 漫不经心
amalgam	 n.  混合物
atonal	 adj.  无调的
yummy	 adj.  美味的， 可口的
tamp	 v.  捣实， 夯实
gesticulate	 v.  做手势表达
spank	 v.  掌掴， 拍打
solo	 adj. 单独的 n.  独唱
impend	 v.  威胁； 即将发生
potted	 adj.  盆栽的； 瓶装的， 罐装的， 壶装的
pious	 adj.  虔诚的
tame	 adj.  驯服的； 沉闷的， 平淡的
peculiar	 adj.  独特的； 古怪的
bovine	 adj.  牛的； 迟钝的
terrorize	 v.  恐吓
idiom	 n.  方言， 土语； 术语； 特有用语； 风格， 特色
unrecognized	 adj.  未被承认的， 未被认出的
curdle	 v.  使凝结， 变稠
fathom	 v.  彻底了解， 弄清真相 n. 英寻
hoop	 n.  箍， 铁环
lacerate	 v.  撕裂； 深深伤害
demolition	 n.  破坏， 毁坏
whimsical	 adj.  古怪的， 异想天开的
conjoin	 v.  使结合
ridicule	 n.  嘲笑， 奚落
propulsion	 n.  推进力
protest	 v.  抗议， 反对 n.  抗议， 反对
operative	 adj.  实施中的， 运行着的； 生效的
culprit	 n.  罪犯
scintillate	 v.  闪烁； 焕发才智
singe	 v.  烧焦， 烤焦
univocal	 adj.  单一意思的
underground	 adv. 在地下；秘密地 adj.  地下的； 秘密的
irate	 adj.  发怒的
appease	 v.  使平静， 安抚
impede	 v.  妨碍
rollicking	 adj.  欢乐的， 喧闹的
anvil	 n.  铁砧
gratuity	 n.  赏钱， 小费
credo	 n.  信条
smirk	 v.  假笑， 得意地笑
brusqueness	 n.  唐突； 直率
file	 n. 档案，卷宗 v. 把…归档[存档]
induction	 n.  就职； 归纳
intrepid	 adj.  勇敢的， 刚毅的
insular	 adj.  岛屿的； 心胸狭窄的
tart	 adj.  酸的； 尖酸的
heave	 v.  用力举
natty	 adj.  整洁的； 敏捷的， 灵巧的
creed	 n.  教义； 信条
neonate	 n.  新生儿
chasten	 v.  改正； 磨炼
positive	 adj. 积极的；明确的；有信心的；无条件的 n.  正片； 积极的要素或特点
satanic	 adj.  似撒旦的， 魔鬼的， 邪恶的
prospect	 v. 勘探 n.  期望； 前景
septic	 adj.  腐败的； 脓毒性的
jubilation	 n.  欢腾， 欢庆
rustle	 v.  发出沙沙声
twinge	 n.  剧痛
return	 v. 回复；归还；回答，反驳 adj.  返回的； 重现的 n. 回报
specialize	 v.  专门研究
vaunting	 adj.  吹嘘的， 傲慢的
seraphic	 adj.  如天使般的， 美丽的
hyperactivity	 n.  活动过度， 极度活跃
consonant	 adj.  协调的， 一致的
inconsequential	 adj.  不重要的， 微不足道的
convoluted	 adj.  旋绕的； 费解的
receptive	 adj.  善于接受的， 能接纳的
heterogeneous	 adj.  异类的， 多样化的
astound	 v.  使震惊
inviolate	 adj.  不受侵犯的， 未受损害的
host	 n.  东道主； 寄主， 宿主
kipper	 v.  腌制， 熏制 by salting and smoking)
spate	 n.  许多， 大量； 暴涨， 发洪水
sophism	 n.  诡辩； 诡辩法
clutter	 v. 弄乱 n.  零乱
illustrate	 v.  举例说明， 用图表等说明； 阐明
hardbitten	 adj.  不屈的， 顽强的
irreconcilable	 adj.  无法调和的， 矛盾的
definitive	 adj.  明确的， 有权威的； 最终的
unbosom	 v.  倾诉， 吐露
nomad	 n.  流浪者； 游牧部落的人
abrade	 v.  擦伤， 磨损
horn	 n.  角； 喇叭
infer	 v.  推断， 推论， 推理
monograph	 n.  专题论文
transit	 v.  通过 n. 通过；改变；运输
saturnine	 adj.  忧郁的， 阴沉的
contumacious	 adj.  违抗的， 不服从的
uninspired	 adj.  无灵感的， 枯燥的
concoction	 n.  混合
adolescent	 adj. 青春期的 n.  青少年
synoptic	 adj.  摘要的
populous	 adj.  人口稠密的
glow	 v. 发光，发热；发红 n.  发光； 兴高采烈
exhume	 v.  掘出， 发掘
petty	 adj.  琐碎的， 次要的； 小气的
sentiment	 n.  多愁善感； 思想感情
patent	 adj. 显而易见的 n.  专利权
acrimonious	 adj.  尖酸刻薄的， 激烈的
pollen	 n.  花粉
outwit	 v.  以机智胜过
blanch	 v.  使变白； 使变苍白
groove	 n.  沟， 槽， 辙； 字沟； 习惯
subvention	 n.  补助金， 津贴
quantum	 n.  量子； 定量
sour	 adj.  酸的
plumber	 n.  管子工， 铅管工
philistine	 n.  庸俗的人， 对文化艺术无知的人
aboveboard	 adj&adv.  光明正大的  and open)
mysticism	 n.  神秘主义
agitate	 v.  鼓动， 煽动； 使不安， 使焦虑
nebulous	 adj.  模糊的； 云状的
brochure	 n.  小册子， 说明书
unscented	 adj.  无气味的
equation	 n.  等式； 等同， 相等
deviation	 n.  背离
volition	 n.  意志， 决断力
discredit	 v. 怀疑 n.  丧失名誉
badger	 v.  烦扰， 纠缠不休 n. 獾
underlie	 v.  位于…之下； 构成…的基础； 【经】优先于
complicate	 v.  使复杂化
taut	 adj.  绷紧的， 拉紧的
credible	 adj.  可信的， 可靠的
intentional	 adj.  存心的， 故意的
giddy	 adj.  轻浮的， 轻率的
procession	 n.  行列； 列队行进
ongoing	 adj.  进行中的； 前进的； 不间断的
adventitious	 adj.  偶然的
sliver	 v.  裂成细片 n. 薄长条
constellation	 n.  星座； 星群
ignorant	 adj.  无知的， 愚昧的
trample	 v.  踩坏， 践踏； 蹂躏
negligible	 adj.  可以忽略的， 微不足道的
bombastic	 adj.  夸夸其谈的
chastisement	 n.  惩罚
distinguish	 v.  成为…的特征， 使有别于； 把…分类； 区别， 辨别
primordial	 adj.  原始的， 最初的
savvy	 adj.  有见识的， 精明的
husbandry	 n.  农业
negligibly	 adv.  无足轻重地， 不值一提地
wield	 v.  行使； 支配， 控制
caulk	 v.  填塞使不漏水
infectious	 adj.  传染的， 有传染性的
prominent	 adj.  显著的； 著名的
superiority	 n.  优越
ranching	 n.  大牧场
exceptionable	 adj.  引起反感的
entitle	 v.  使有权
outline	 n.  轮廓； 概要
nominal	 adj.  名义上的， 有名无实的
excess	 n.  过分， 过度
perspective	 n.  思考方法； 观点， 看法； 透视法
necessitous	 adj.  贫困的； 紧迫的
iterate	 v.  重申， 重做
invade	 v.  侵略， 侵入
dogma	 n.  教条， 信条
prognosis	 n.  【医】预断， 预后
repine	 v.  不满， 抱怨
sacrilege	 n.  亵渎， 冒犯神灵
adverse	 adj.  有害的， 不利的； 敌对的， 相反的
cadge	 v.  乞讨； 占便宜
gourmet	 n.  美食家
consign	 v.  托运； 托人看管
reputation	 n.  名声
redoubtable	 adj.  令人敬畏的， 可怕的
genesis	 n.  创始， 起源
argumentative	 adj.  好争辩的， 好争吵的
restrain	 v.  克制， 抑制
provincial	 adj.  省的， 地方的； 偏狭的， 粗俗的
adhesive	 adj. 黏着的，带黏性的 n.  黏合剂
monumental	 adj.  极大的； 纪念碑的
profundity	 n.  深奥的事物； 深刻， 深厚
rankle	 v.  怨恨； 激怒
misapprehension	 n.  误会， 误解
multifarious	 adj.  多种的， 各式各样的
conflict	 v.  斗争， 冲突， 抵触 n.  冲突
preconception	 n.  先入之见； 偏见
squat	 v. 蹲下 adj.  矮胖的
decisiveness	 n.  坚决， 果断
barrister	 n.  出庭律师； 律师
derivative	 adj.  派生的； 无创意的
purge	 v.  清洗， 洗涤
outfox	 v.  以机智胜过
unreserved	 adj.  无限制的； 未被预订的
causal	 adj.  原因的， 因果关系的
fallacious	 adj.  欺骗性的， 误导的； 谬误的
mansion	 n.  公寓； 大厦
summary	 adj.  摘要的， 简略的 n. 摘要，概要
akin	 adj.  同族的； 类似的
accustom	 v.  使习惯
feline	 adj.  猫的， 猫科的
inebriate	 v. 使…醉 n.  酒鬼， 酒徒
antedate	 v.  填写比实际日期早的日期； 早于
corrode	 v.  腐蚀， 侵蚀
artificial	 adj.  人造的， 假的
chastise	 v.  严惩； 谴责
lattice	 n.  格子架
spined	 adj.  有背骨的, 有脊柱的
vaporize	 v.  蒸发
humanistic	 adj.  人性的； 人文主义的
pander	 v.  怂恿， 迎合
chronological	 adj.  按年代顺序排列的
coerce	 v.  强迫； 压制
encapsulation	 n.  包装
sculptural	 adj.  雕刻的； 雕刻般的
defuse	 v.  拆除引信， 使除去危险性；平息
desirable	 adj.  值得要的
quixotic	 adj.  不切实际的， 空想的
instill	 v.  滴注； 逐渐灌输
ingest	 v.  咽下， 吞下
defensive	 adj. 自卫的 n.  戒备； 防御
profiteer	 n.  奸商， 牟取暴利者
jeer	 v.  嘲笑
typhoon	 n.  台风
opportune	 adj.  合适的， 适当的
deplore	 v.  悲悼， 哀叹； 谴责
compress	 v.  压缩； 压紧
resilient	 adj.  有弹性的； 能恢复活力的， 适应力强的
embezzlement	 n.  贪污， 盗用
traceable	 adj.  可追踪的
fallible	 adj.  易犯错的
occlude	 v.  使闭塞
unexceptionable	 adj.  无可挑剔的
discrepancy	 n.  差异， 矛盾
symbiosis	 n.  共生
natal	 adj.  出生的， 诞生时的
prolong	 v.  延长， 拉长
antiquated	 adj.  陈旧的， 过时的； 年老的
distress	 n.  痛苦， 悲痛
linguistics	 n.  语言学
irksome	 adj.  令人苦恼的， 讨厌的
substitute	 v.  代替 n. 代替品
uniform	 adj.  相同的， 一致的 n. 制服
overconfident	 adj.  过于自信的， 自负的
cadet	 n.  军校或警官学校的学生
scatter	 v.  散开， 驱散
violate	 v.  违反， 侵犯
muted	 adj.  减弱的， 变得轻柔的
outlying	 adj.  边远的， 偏僻的
inhabit	 v.  居住于； 占据
spat	 n.  口角， 小争论
fascinating	 adj.  迷人的， 醉人的
agenda	 n.  议程
comma	 n.  逗号
thump	 v.  重击， 捶击
vivacious	 adj.  活泼的， 有生气的， 快活的
nonplus	 v. 使困惑 n.  迷惑， 困惑
reconnaissance	 n.  侦察， 预先勘测
inadvisable	 adj.  不明智的， 不妥当的
span	 n.  跨度； 两个界限间的距离
bizarre	 adj.  奇异的， 古怪的
astronomical	 adj.  极大的； 天文学的
well-intentioned	 adj.  出于善意的
allure	 v.  引诱， 诱惑
cauterize	 v.  烧灼以消毒或止血
epigram	 n.  讽刺短诗， 警句
spree	 n.  狂欢
incongruity	 n.  不协调， 不相称
arresting	 adj.  醒目的， 引人注意的
circuitous	 adj.  迂回的， 绕圈子的
commitment	 n.  承诺， 许诺
invariable	 adj.  恒定的， 不变的
solicit	 v.  恳求； 教唆
jocular	 adj.  滑稽的， 幽默的； 爱开玩笑的
disciple	 n.  信徒， 弟子
collision	 n.  碰撞， 冲突
munificent	 adj.  慷慨的； 丰厚的
arbiter	 n.  权威人士， 泰斗
calorie	 n.  卡路里； 卡
rumble	 v.  发出低沉的隆隆声
acerbic	 adj.  尖酸的； 刻薄的
tract	 n.  传单； 大片土地
skinflint	 n.  吝啬鬼
umbrage	 n.  不快， 愤怒
hypersensitive	 adj.  非常敏感的
aggregate	 v.  集合； 合计
transitoriness	 n.  暂时， 短暂
trace	 v.  追踪 n. 痕迹
petal	 n.  花瓣
array	 v. 部署 n.  陈列； 大批
idiosyncracy	 n.  特质
track	 v.  跟踪， 追踪 n. 轨迹，踪迹；道路，路径；轨道
potentate	 n.  统治者， 君主
unliterary	 adj.  不矫揉造作的， 不咬文嚼字的
pecan	 n.  山核桃
monetary	 adj.  金钱的； 货币的
stifle	 v.  感到窒息； 抑止
demolish	 v.  破坏， 摧毁； 拆除
blooming	 adj.  开着花的； 旺盛的
serial	 adj.  连续的， 一系列的
unflappable	 adj.  不惊慌的， 镇定的
persiflage	 n.  挖苦， 嘲弄
spew	 v.  呕吐； 大量喷出
derivation	 n.  发展， 起源； 词源
invoice	 v.  给开发票 n. 发票，发货清单
ennui	 n. 倦怠；
comic	 adj. 可笑的；喜剧的 n.  喜剧演员
divagate	 v.  离题； 飘泊
unsettle	 v.  使不安宁， 扰乱
vague	 adj.  含糊的， 不明确的； 模糊的
gingerly	 adj&adv.  小心的； 谨慎的
civility	 n.  彬彬有礼， 斯文
resplendent	 adj.  华丽的， 光辉的
kangaroo	 n.  袋鼠
ephemeral	 adj.  朝生暮死的； 生命短暂的
amiability	 n.  亲切， 友善
accuracy	 n.  精确， 准确
redistribution	 n.  重新分配
overbearing	 adj.  专横的， 独断的
smattering	 n.  略知； 少数
quote	 v.  引用， 引述
quota	 n.  定额， 配额
dilapidated	 adj.  破旧的， 毁坏的
thermal	 adj. 热的，热量的；温暖的 n.  上升的暖气流
scorn	 v.  轻蔑， 瞧不起 n. 轻蔑
rag	 n.  旧布， 碎布； 破旧衣服
diagnostic	 adj. 诊断的 n.  诊断
execrable	 adj.  可憎的， 讨厌的
culpable	 adj.  有罪的， 该受谴责的
navigate	 v.  驾驶； 航行； 使通过
adaptability	 n.  适应性
sideshow	 n.  杂耍， 穿插表演
