ability	 n. 能力，能耐；才能
story	 n. 故事；小说；新闻报道；来历；假话 vt. 用历史故事画装饰 vi. 说谎
strange	 adj. 奇怪的；陌生的；外行的 adv. 奇怪地；陌生地，冷淡地 n. (Strange)人名；(英)斯特兰奇；(瑞典、塞)斯特朗格
stranger	 n. 陌生人；外地人；局外人
strawberry	 n. 草莓；草莓色
stream	 n. 溪流；流动；潮流；光线 v. 流；涌进；飘扬
street	 n. 街道 adj. 街道的
strict	 adj. 严格的；绝对的；精确的；详细的
strong	 adj. 坚强的；强壮的；牢固的；擅长的 adv. 强劲地；猛烈地 n. (Strong)人名；(英)斯特朗
student	 n. 学生；学者
study	 n. 学习，研究；课题；书房；学问 v. 学习；考虑；攻读；细察
stupid	 adj. 愚蠢的；麻木的；乏味的 n. 傻瓜，笨蛋
subject	 n. 主题；科目；[语] 主语；国民 adj. 服从的；易患…的；受制于…的 v. 使…隶属；使屈从于…
succeed	 v. 成功；继承；继任；兴旺
success	 n. 成功，成就；胜利；大获成功的人或事物
successful	 adj. 成功的；一帆风顺的
such	 adj. 这样的，如此的 n. (Such)人名；(英)萨奇；(德)祖赫
sudden	 adj. 突然的，意外的；快速的 n. 突然发生的事
sugar	 n. 糖；食糖；甜言蜜语 v. 加糖于；粉饰
suggest	 v. 提议，建议；启发；使人想起；显示；暗示
suggestion	 n. 建议；示意；微量，细微的迹象
sun	 n. 太阳 v. 使晒
Sunday	 n. 星期日；礼拜日
sunny	 adj. 阳光充足的，和煦的；快活的；性情开朗的
supermarket	 n. 超级市场；自助售货商店
supper	 n. 晚餐，晚饭；夜宵
supply	 n. 供给，补给；供应品 v. 供给，提供；补充
suppose	 v. 假设；认为；让（虚拟语气）；推想 conj. 假使…结果会怎样
sure	 adj. 确信的；可靠的；必定的 adv. 当然；的确 n. (Sure)人名；(英)休尔
surface	 n. 表面；表层；外观 adj. 表面的，肤浅的 v. 浮出水面
surprise	 n. 惊奇，诧异；突然袭击 v. 使惊奇；奇袭 adj. 令人惊讶的
sweater	 n. 毛线衣，运动衫；大量出汗的人，发汗剂
sweet	 adj. 甜的；悦耳的；芳香的；亲切的 n. 糖果；乐趣；芳香；宝贝
swimming	 n. 游泳；目眩 adj. 游泳的；游泳用的；善于游泳的；晕眩的 v. 游泳；漂浮；旋转（swim的ing形式）
swing	 n. 摇摆；摆动；秋千；音律；涨落 v. 摇摆；转向；悬挂；大摇大摆地行走 adj. 旋转的；悬挂的；强节奏爵士音乐的
symbol	 n. 象征；符号；标志
table	 n. 桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的
tail	 n. 尾巴；踪迹；辫子；燕尾服 v. 尾随；装上尾巴 adj. 从后面而来的；尾部的
tale	 n. 故事；传说；叙述；流言蜚语
talk	 v. 说；谈话；讨论 n. 谈话；演讲；空谈
tall	 adj. 高的；长的；过分的；夸大的 adv. 夸大地 n. (Tall)人名；(马里、阿拉伯)塔勒；(芬、罗、瑞典)塔尔；(英)托尔；(土)塔勒
tape	 n. 胶带；磁带；带子；卷尺 v. 录音；用带子捆扎；用胶布把…封住
task	 v. 分派任务 n. 工作，作业；任务
taste	 n. 味道；品味；审美 v. 尝；体验
taxi	 v. 乘出租车；滑行 n. 出租汽车
tea	 n. 茶叶；茶树；茶点 vt. 给…沏茶 vi. 喝茶；进茶点
teacher	 n. 教师；导师
team	 n. 队；组 v. 使合作
technology	 n. 技术；工艺；术语
telephone	 n. （美）电话；电话机；电话耳机 v. 打电话
television	 n. 电视，电视机；电视业
temperature	 n. 温度；体温；气温；发烧
ten	 num. 十个，十 n. (Ten)人名；(英)坦恩；(意)泰恩；(柬)登
tenth	 num. 第十；十分之一 adj. 十分之一的；第十个的
tent	 n. 帐篷；住处；帷幕 v. 用帐篷遮盖；使在帐篷里住宿
term	 n. 术语；学期；期限；条款；(代数式等的)项 v. 把…叫做
terrible	 adj. 可怕的；很糟的；令人讨厌的 adv. 很，非常
test	 n. 试验；检验 v. 试验；测试
text	 n. [计] 文本；课文；主题 v. 发短信
than	 conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后） prep. 比；超过 n. (Than)人名；(老、柬、德)坦；(缅)丹
thank	 v. 感谢 n. 感谢 int. 谢谢
that	 pron. 那；那个 adv. 那么；那样 conj. 因为；以至于 adj. 那；那个 n. (That)人名；(德)塔特
the	 art. 这；那 adv. 更加（用于比较级，最高级前）
their	 pron. 他们的，她们的；它们的 n. (Their)人名；(英)蒂尔；(芬、瑞典)泰尔
theirs	 pron. 他们的；她们的；它们的
them	 pron. 他们；它们；她们 n. (Them)人名；(老)探
themselves	 pron. 他们自己；他们亲自
then	 adv. 然后；那么；于是；当时；此外 n. 那时 conj. 然后，当时
there	 adv. 在那里；在那边；在那点上 int. 你瞧 n. 那个地方
these	 pron. 这些 adj. 这些的
they	 pron. 他们；它们；她们
thick	 n. 最拥挤部分；活动最多部分；事物的粗大浓密部分 adj. 厚的；浓的；粗大的 adv. 密集地；浓浓地，厚厚地
thin	 adj. 薄的；瘦的；稀薄的；微弱的 v. 使瘦；使淡；使稀疏 adv. 稀疏地；微弱地 n. 细小部分
thing	 n. 事情；东西；事物；情况
third	 num. 第三；三分之一 adj. 第三的；三分之一的
thirsty	 adj. 口渴的，口干的；渴望的，热望的
thirteen	 n. 十三；十三岁；十三个 num. 十三 adj. 十三的；十三个的
thirty	 n. 三十年代 num. 三十 adj. 三十个的
this	 pron. 这；这个；这里 adj. 这；本；这个；今 adv. 这样地；这么 n. (This)人名；(法)蒂斯
those	 adj. 那些的 pron. 那些（that的复数）
though	 adv. 可是，虽然；不过；然而 conj. 虽然；尽管 prep. 但
thought	 n. 思想；思考；想法；关心 v. 想，思考；认为（think的过去式和过去分词）
thousand	 n. 一千；一千个；许许多多 adj. 成千的；无数的
thread	 n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线 v. 穿过；穿线于；使交织
three	 n. 三，三个 num. 三 adj. 三的，三个的
through	 prep. 通过；穿过；凭借 adv. 彻底；从头至尾 adj. 直达的；过境的；完结的
Thursday	 n. 星期四
ticket	 n. 票；入场券，标签；（美）候选人名单；证明书；交通罚款单 v. 加标签于；指派；对…开出交通违规罚单
tidy	 adj. 整齐的；相当大的 v. 整理；收拾；弄整齐 n. 椅子的背罩
tie	 v. 系；约束；打结；与…成平局 n. 领带；平局；鞋带；领结；不分胜负
tiger	 n. 老虎；凶暴的人
till	 n. [地理][水文] 冰碛；放钱的抽屉；备用现金 prep. 直到 conj. 直到为止 v. 耕种；犁
time	 n. 时间；时代；次数；节拍；倍数 v. 计时；测定…的时间；安排…的速度 adj. 定时的；定期的；分期的
tiny	 adj. 微小的；很少的 n. (Tiny)人名；(葡、印)蒂尼
tired	 adj. 疲倦的；厌倦的，厌烦的 v. 疲倦；对…腻烦（tire的过去分词形式）
to	 adv. 向前；（门等）关上 prep. 到；向；（表示时间、方向）朝…方向 n. (To)人名；(柬)多；(中)脱(普通话·威妥玛)
today	 adv. 今天；现今 n. 今天；现今
together	 adv. 一起；同时；相互；连续地；总共 adj. 新潮的；情绪稳定的，做事有效率的
toilet	 n. 厕所，盥洗室；梳妆，打扮 vi. 梳妆，打扮 vt. 给…梳妆打扮
tomato	 n. 番茄，西红柿
tomorrow	 n. 明天；未来 adv. 明天；未来地（等于to-morrow）
ton	 n. 吨；很多，大量
tongue	 n. 舌头；语言 v. 舔；斥责；用舌吹
tonight	 adv. 在今晚 n. 今晚
too	 adv. 太；也；很；还；非常；过度
tool	 n. 工具，用具；器械，机床；手段 v. 使用工具；用机床装备工厂
toothache	 n. [口腔] 牙痛
toothbrush	 n. 牙刷
toothpaste	 n. 牙膏
top	 n. 顶部，顶端；上部；首席；陀螺 v. 高出，超越；结束；达到顶点 adj. 最高的，顶上的；头等的
total	 adj. 全部的；完全的；整个的 v. 总数达 n. 总数，合计
touch	 v. 接触；触动；使轻度受害 n. 接触；触觉；格调；少许
tourist	 n. 旅行者，观光客 adj. 旅游的 vt. 在旅行参观 vi. 旅游；观光 adv. 坐旅游车厢；坐经济舱
towel	 n. 毛巾，手巾；[纸] 纸巾 v. 用毛巾擦
tower	 n. 塔；高楼；堡垒 v. 高耸；超越
town	 n. 城镇，市镇；市内商业区
toy	 n. 玩具；小装饰品；不值钱的东西 v. 玩弄；调情；随随便便地对待 adj. 作为玩具的；玩物似的
trade	 n. 贸易，交易；行业；职业 v. 交易，买卖；以物易物
traditional	 adj. 传统的；惯例的
traffic	 n. 交通；运输；贸易；[通信] 通信量 v. 用…作交换；在…通行
train	 n. 火车；行列；长队；裙裾 v. 培养；训练；瞄准
training	 n. 训练；培养；瞄准；整枝 v. 训练；教养（train的ing形式）
translate	 v. 翻译；转化；解释；转变为；调动
treasure	 n. 财富，财产；财宝；珍品 v. 珍爱；珍藏
treatment	 n. 治疗，疗法；处理；对待
tree	 n. 树；木料；树状物 v. 把赶上树
trip	 v. 绊倒；远足；犯错误；轻快地走 n. 旅行；绊倒；差错
trouble	 n. 麻烦；烦恼；故障；动乱 v. 麻烦；使烦恼；折磨
trousers	 n. 裤子，长裤
truck	 n. 卡车；交易；手推车 v. 驾驶卡车；以物易物 adj. （美）运货汽车的
true	 adj. 真实的；正确的 adv. 真实地；准确地 n. 真实；准确 v. 装准
trust	 n. 信任，信赖；责任；托拉斯 v. 信任，信赖；盼望；赊卖给
truth	 n. 真理；事实；诚实；实质
try	 v. 试图，努力；试验；审判；考验 n. 尝试；努力；试验
Tuesday	 n. 星期二
turn	 v. 转动，使旋转；转弯；翻过来；兑换 n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
twelfth	 adj. 第十二的，第十二个的；十二分之一的 n. 第十二；月的第十二日
twelve	 n. 十二；十二个 num. 十二；十二个 adj. 十二的；十二个的
twentieth	 n. 二十分之一 adj. 第二十的；二十分之一的 num. 第二十
twenty	 n. 二十；二十年代 num. 二十 adj. 二十的
twice	 adv. 两次；两倍
two	 n. 两个 adj. 两个的 num. 二
ugly	 adj. 丑陋的；邪恶的；令人厌恶的
umbrella	 n. 雨伞；保护伞；庇护；伞形结构
uncle	 n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
under	 prep. 低于，少于；在之下 adv. 在下面；在下方 adj. 下面的；从属的
underground	 adv. 在地下；秘密地 adj. 地下的；秘密的；先锋派的 n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
unit	 n. 单位，单元；装置；[军] 部队；部件
university	 n. 大学；综合性大学；大学校舍
unless	 conj. 除非，如果不 prep. 除…之外
until	 conj. 在…以前；直到…时 prep. 在…以前；到…为止
up	 adv. 起来；上涨；向上 prep. 在…之上；向…的较高处 adj. 涨的；起床的；向上的 n. 上升；繁荣
upstairs	 adv. 在楼上，向楼上；上楼；往楼上 adj. 楼上的 n. 楼上
us	 pron. 我们
use	 n. 使用；用途；发挥 v. 利用；耗费
used	 adj. 习惯的；二手的，使用过的 v. 用（use的过去式）；（used to）过去常做
useful	 adj. 有用的，有益的；有帮助的
useless	 adj. 无用的；无效的
usual	 adj. 通常的，惯例的；平常的
vacation	 n. 假期；（房屋）搬出 v. 休假，度假
value	 n. 值；价值；价格；重要性；确切涵义 v. 评价；重视；估价
VCD	 abbr. 视频高密光盘（Video Compact Disc）；可变电容二极管（Variable Capacitance Diode）
vegetable	 n. 蔬菜；植物；植物人 adj. 蔬菜的；植物的
vehicle	 n. [车辆] 车辆；工具；交通工具；运载工具；传播媒介；媒介物
very	 adj. 恰好是，正是；甚至；十足的；特有的 adv. 非常，很；完全 n. (Very)人名；(英)维里
victory	 n. 胜利；成功；克服
video	 n. [电子] 视频；录像，录像机；电视 adj. 视频的；录像的；电视的 v. 录制
village	 n. 村庄；村民；（动物的）群落
violin	 n. 小提琴；小提琴手
visit	 n. 访问；参观；逗留 v. 访问；参观；视察
visitor	 n. 访问者，参观者；视察者；候鸟
voice	 n. 声音；嗓音；发言权；愿望 v. 表达；吐露
volleyball	 n. 排球
wait	 v. 等候；推迟；延缓 n. 等待；等候
walk	 n. 步行，走；散步 v. 散步；走过
wall	 n. 墙壁，围墙；似墙之物 v. 用墙围住，围以墙 adj. 墙壁的
want	 v. 需要；希望；应该；缺少 n. 需要；缺乏；贫困；必需品
war	 n. 战争，斗争；军事，战术；冲突，对抗，竞争 v. 打仗，作战；对抗
warm	 adj. 温暖的；热情的 v. 同情；激动；变温暖 n. 取暖；加热
warn	 v. 警告，提醒；通知 n. (Warn)人名；(英)沃恩；(德)瓦恩
wash	 n. 洗涤；洗的衣服；化妆水；冲积物 v. 洗涤；洗刷；冲走；拍打
waste	 n. 浪费；废物；荒地；损耗；地面风化物 v. 浪费；消耗；使荒芜 adj. 废弃的；多余的；荒芜的
watch	 v. 观察；注视；看守；警戒 n. 手表；监视；守护；值班人
water	 n. 水；海水；雨水；海域，大片的水 v. 使湿；供以水；给…浇水
watermelon	 n. 西瓜
way	 n. 方法；道路；方向；行业；习惯 adv. 大大地；远远地 adj. 途中的
we	 pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人 n. (We)人名；(缅)韦
weak	 adj. [经] 疲软的；虚弱的；无力的；不牢固的
wealth	 n. 财富；大量；富有
weather	 n. 天气；气象；气候；处境 v. 经受住；使风化；侵蚀；使受风吹雨打 adj. 露天的；迎风的
website	 n. 网站（全球资讯网的主机站）
Wednesday	 n. 星期三
week	 n. 周，星期
weekday	 n. 平日，普通日；工作日
weekend	 n. 周末，周末休假；周末聚会 adj. 周末的，周末用的 v. 度周末
weigh	 v. 权衡；考虑；称…重量 n. 权衡；称重量
weight	 n. 重量，重力；负担；砝码；重要性 v. 加重量于，使变重
welcome	 adj. 受欢迎的 n. 欢迎 v. 欢迎 int. 欢迎
west	 n. 西；西方；西部 adj. 西方的；朝西的 adv. 在西方；向西方；自西方
western	 adj. 西方的，西部的；有西方特征的 n. 西方人；西部片，西部小说
wet	 adj. [气象][物] 潮湿的；有雨的 n. 雨天；湿气 v. 弄湿
whale	 v. 猛揍；使惨败 n. 鲸；巨大的东西
what	 pron. 什么；多么；多少 adj. 什么；多么；何等 adv. 到什么程度，在哪一方面 int. 什么；多么
whatever	 adj. 不管什么样的 pron. 无论什么；诸如此类 conj. 无论什么
wheat	 n. 小麦；小麦色
Wheel	 n. 车轮；方向盘；转动 v. 转动；使变换方向；给…装轮子
when	 conj. 考虑到；既然；当…时；在…时；如果 adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时 pron. 那时；什么时侯 n. 时间，时候；日期；场合
whenever	 conj. 每当；无论何时 adv. 不论何时；随便什么时候
where	 adv. 在哪里 pron. 哪里 conj. 在…的地方 n. 地点
whether	 conj. 是否；不论 pron. 两个中的哪一个
which	 pron. 哪/那一个；哪/那一些 adj. 哪一个；哪一些
while	 conj. 虽然；然而；当……的时候 n. 一会儿；一段时间 v. 消磨；轻松地度过
white	 adj. 白色的；白种的；纯洁的 n. 白色；洁白；白种人
who	 pron. 谁；什么人
whole	 adj. 完整的；纯粹的 n. 整体；全部
whom	 pron. 谁（who的宾格）
whose	 pron. 谁的（疑问代词）
why	 int. 哎呀！什么？ adv. 为什么
wide	 adj. 广泛的；宽的，广阔的；张大的；远离目标的 adv. 广泛地；广阔地；充分地 n. 大千世界
wife	 n. 妻子，已婚妇女；夫人
wind	 n. 风；呼吸；气味；卷绕 v. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人
window	 n. 窗；窗口；窗户
windy	 adj. 多风的，有风的；腹胀的；吹牛的
wine	 n. 酒，葡萄酒；紫红色 v. 喝酒
wing	 n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房 v. 使飞；飞过；空运；增加…速度；装以翼
winner	 n. 胜利者
winter	 n. 冬季；年岁；萧条期 v. 过冬 adj. 冬天的；越冬的
wise	 adj. 明智的；聪明的；博学的 v. 使知道；教导 n. (Wise)人名；(英)怀斯
wish	 n. 希望；祝福；心愿 v. 祝愿；渴望；向…致问候语
with	 prep. 用；随着；支持；和…在一起 n. (With)人名；(德、芬、丹、瑞典)维特
without	 prep. 没有；超过；在…外面 adv. 户外；在外面；没有或不显示某事物 n. 外部；外面
wonder	 n. 惊奇；奇迹；惊愕 v. 怀疑；想知道；惊讶 adj. 奇妙的；非凡的
wonderful	 adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
wood	 n. 木材；木制品；树林 vi. 收集木材 vt. 植林于；给…添加木柴
word	 n. [语] 单词；话语；消息；诺言；命令 v. 用言辞表达
work	 n. 工作；[物] 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品 v. 使工作；操作；经营；使缓慢前进
worker	 n. 工人；劳动者；职蚁
world	 n. 世界；领域；世俗；全人类；物质生活
worry	 n. 担心；烦恼；撕咬 v. 担心；发愁；折磨
worth	 adj. 值…的 n. 价值；财产
would	 aux. 将，将要；愿意 v. will的过去式
wound	 n. 创伤，伤口 v. 使受伤
write	 v. 写，写字；写作，作曲；写信
wrong	 adv. 错误地；邪恶地，不正当地 n. 坏事；不公正 adj. 错误的；失常的；不适当的 v. 委屈；无理地对待；诽谤
yard	 n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁 vt. 把…关进或围在畜栏里
year	 n. 年；年度；历年；年纪；一年的期间；某年级的学生
yellow	 adj. 黄色的；黄皮肤的 n. 黄色；黄种人；黄色颜料 v. 使变黄或发黄
yes	 adv. 是, 是的 n. 是（表示肯定）
yesterday	 n. 昨天；往昔 adv. 昨天
yet	 adv. 还；但是；已经 conj. 但是；然而 n. (Yet)人名；(东南亚国家华语)一
you	 pron. 你；你们 n. (You)人名；(柬)尤；(东南亚国家华语)猷
young	 adj. 年轻的；初期的；没有经验的 n. 年轻人；（动物的）崽，仔
your	 pron. 你的，你们的
yours	 pron. 你（们）的东西；你的责任[义务]；你的家属；来信，尊函 adj. 你（们）的（东西）；信末署名前用语
yourself	 pron. 你自己
yourselves	 pron. 你们自己；你们本人（yourself的复数）
zebra	 n. [脊椎] 斑马 adj. 有斑纹的
zero	 n. 零点，零度 num. 零
zoo	 n. 动物园
